COMPANY-NAME,Independent / Private / Owned,CITY,STATE,EMPLOYEE-RANGE,EMPLOYEE-AVERAGE,COUNTRY
EMG3,Owned by TideSmart Global,Falmouth,ME,11-50,30.5,USA
ENGINE SHOP,Owned by Bruin Sports Capital,NY,NY,50-200,125,USA
EPSILON,public,Irving,TX,500+,500,USA
EVENT STRATEGY GROUP,private,Broomall,PA,11-50,30.5,USA
EVENTAGE,independent,South Orange,NJ,11-50,30.5,USA
EVENTIVE,public,NY,NY,11-50,30.5,USA
EVENTNEXT,public,Lake Orion,MI,11-50,30.5,USA
EXECUTIVE VISIONS INC.,independent,Norcross ,GA,11-50,30.5,USA
FACTORY 360,independent,NY,NY,50-200,125,USA
FCBX,public,Chicago,IL,11-50,30.5,USA
FIRST PROTOCOL,private,London,England,180,180,UK
FLUENT,private,Colombia,SC,11-50,30.5,USA
FREEMANXP,Owned by Freeman,Dallas,TX,50-200,125,USA
FUSION MARKETING,private,St. Louis,MO,11-50,30.5,USA
GEOMETRY GLOBAL,public,NY,NY,1000+,1000,USA
GEORGE P. JOHNSON,Owned by Project,Auburn Hills,MI,1000+,1000,USA
GIANT STEP MARKETING,private,Brooklyn,NY,11-50,30.5,USA
GLOBAL EXPERIENCE SPECIALISTS (GES),public,Las Vegas,NV,500+,500,USA
GMR MARKETING,public,New Berlin ,WI,500+,500,USA
GO! EXPERIENCE DESIGN,private,Atlanta,GA,11-50,30.5,USA
GROW MARKETING,private,san francisco,CA,11-50,30.5,USA
HAVAS IMPACT,public,Chicago,IL,50-200,125,USA
HENRY V,private,Portland,OR,50-200,125,USA
IGNITION,Owned by Havas,Atlanta,GA,50-200,125,USA
IMAGINATION,private,London,England,500+,500,UK
IMG LIVE,Owned by WME | IMG,Norcross,GA,50-200,125,USA
INFINITY MARKETING TEAM,independent,Culver City,CA,50-200,125,USA
INFRARED,owned by Red Peak Group,NY,NY,11-50,30.5,USA
INSPIRA MARKETING GROUP,independent,Norwalk,CT,200-500,350,USA
INVISION COMMUNICATIONS,private,Walnut Creek,CA,50-200,125,USA
INVNT,public,NY,NY,50-200,125,USA
JACK MORTON WORLDWIDE,public,NY,NY,500+,500,USA
KENWOOD EXPERIENCES,private,san francisco,CA,11-50,30.5,USA
KICKING COW,private,st. louis,MO,11-50,30.5,USA
KUBIK,private,toronto,Ontario,200-500,350,CANADA
LEGACY MARKETING,private,Chicago,IL,450,450,USA
LEO EVENTS,private,Memphis,TN,11-50,30.5,USA
MAC PRESENTS,private,NY,NY,11-50,30.5,USA
MAGNETIC COLLABORATIVE,private,NY,NY,51-200,125,USA
MANIFESTO,private,Portland,OR,11-50,30.5,USA
MANIFOLD,private,san francisco,CA,11-50,30.5,USA
THE MARKETING ARM,public,Dallas,TX,500+,500,USA
MARKETING FACTORY,private,Los Angeles,CA,11-50,30.5,USA
MARKETING WERKS,owned by Crossmark,Chicago,IL,50-200,125,USA
MATCH MARKETING GROUP,private,Norwalk,CT,500+,500,USA
THE MICHAEL ALAN GROUP,private,NY,NY,11-50,30.5,USA
MIRRORBALL,private,NY,NY,51-200,125,USA
MIRRORED MEDIA,private,Santa Monica,CA,11-50,30.5,USA
MKG,private,NY,NY,51-200,125,USA
MKTG,owned by Dentsu,NY,NY,1450,1450,USA
MODERNE COMMUNICATIONS,private,Rockville Centre,NY,11-50,30.5,USA
MOMENTUM WORLDWIDE,public,NY,NY,1000+,1000,USA
MOSAIC,private,Mississauga,Ontario,1000+,1000,CANADA
MOTIVE,private,NY,NY,50-200,125,USA
MVP COLLABORATIVE,private,Madison Heights,MI,11-50,30.5,USA
NA COLLECTIVE,private,NY,NY,11-50,30.5,USA
NCOMPASS,private,West Hollywood,CA,50-200,125,USA
NEWBRIDGE LIVE,private,Portland,ME,11-50,30.5,USA
NEXT MARKETING,independent,Atlanta,GA,11-50,30.5,USA
NVE,private,Beverly Hills,CA,17,17,USA
OCTAGON,public,McLean,VA,800,800,USA
ON BOARD EXPERIENTIAL,private,Sausalito,CA,50-200,125,USA
OPUS AGENCY,private,Beaverton,OR,50-200,125,USA
PERFORMANCE MARKETING GROUP,private,Indianapolis,IN,50-200,125,USA
PGW EXPERIENCE,owned by CAA,Los Angeles,CA,50-200,125,USA
POP2LIFE,private,NY,NY,11-50,30.5,USA
PROSCENIUM,partership,NY,NY,11-50,30.5,USA
REDPEG MARKETING,private in a collective,Alexandria,VA,50-200,125,USA
REVEL,private,Muskegon,MI,11-50,30.5,USA
REVOLUTION,independent,Chicago,IL,50-200,125,USA
SET,public,Portland,OR,50-200,125,USA
SOHO EXPERIENTIAL,private,NY,NY,11-50,30.5,USA
SPARKS,private,Philadelphia,PA,200-500,350,USA
SUPERFLY,private,NY,NY,50-200,125,USA
SWITCH,private,st. louis,MO,50-200,125,USA
SYNERGY,private,Ocean,NJ,50-200,125,USA
THE TAYLOR GROUP,private,Brampton,Ontario,200-500,350,CANADA
TOUCH WORLDWIDE,private,Seattle,WA,50-200,125,USA
TRACK MARKETING GROUP,private,NY,NY,11-50,30.5,USA
UNITED ENTERTAINMENT GROUP,owned by Edelman,NY,NY,50-200,125,USA
THE VISIONARY GROUP,private,Los Angeles,CA,35,35,USA
WASSERMAN,private,Los Angeles,CA,500+,500,USA